run_name,loss              ,semitone_loss,octave_loss          ,dur_log_loss      ,dotted_loss        ,semitone_balanced_accuracy,semitone_accuracy  ,octave_balanced_accuracy,octave_accuracy   ,dur_log_balanced_accuracy,dur_log_accuracy  ,dotted_balanced_accuracy,dotted_accuracy
5_last ,2.7318224906921387,8.291215896606445,4.284584999084473 ,4.247222900390625 ,1.160915732383728 ,0.4824608266353607         ,0.48557865619659424,0.678360641002655       ,0.7341436743736267,0.5296345949172974       ,0.7364639043807983,0.5943652391433716      ,0.9279722571372986
10_last,2.7197699546813965,8.260588645935059,4.2717671394348145,4.230303764343262 ,1.1532968282699585,0.48427802324295044        ,0.4874785542488098 ,0.6798087954521179      ,0.7349385619163513,0.5286843180656433       ,0.7375150322914124,0.5940793752670288      ,0.9284461736679077
20_last,2.6971583366394043,8.20151424407959 ,4.248687267303467 ,4.19584846496582  ,1.139809250831604 ,0.487752228975296          ,0.4911481440067291 ,0.6767336130142212      ,0.7363700866699219,0.5284296274185181       ,0.7396532893180847,0.5937705039978027      ,0.9292842149734497
30_last,2.674861192703247 ,8.143156051635742,4.228379249572754 ,4.163366317749023 ,1.1256788969039917,0.4911156892776489         ,0.49477285146713257,0.673812985420227       ,0.7376338839530945,0.5288412570953369       ,0.7416710257530212,0.5938405394554138      ,0.9301630854606628
40_last,2.651106595993042 ,8.079983711242676,4.203454971313477 ,4.1304802894592285,1.110813021659851 ,0.49476879835128784        ,0.49869126081466675,0.6716909408569336      ,0.739180326461792 ,0.5294073820114136       ,0.7437134385108948,0.5938934683799744      ,0.9310863018035889
50_last,2.6269452571868896,8.011837005615234,4.1754279136657715,4.098447322845459 ,1.0964272022247314,0.4987584948539734         ,0.5029186010360718 ,0.6652012467384338      ,0.7409213185310364,0.5299584269523621       ,0.7457008361816406,0.5941455364227295      ,0.931980311870575
