run_name,loss,semitone_loss,octave_loss,dur_log_loss,dotted_loss,semitone_balanced_accuracy,semitone_accuracy,octave_balanced_accuracy,octave_accuracy,dur_log_balanced_accuracy,dur_log_accuracy,dotted_balanced_accuracy,dotted_accuracy
5_last,nan,8.291288375854492,nan,4.247198104858398,1.1608952283859253,0.482460618019104,0.48557865619659424,0.6446067690849304,0.7341436743736267,0.5296353101730347,0.736465573310852,0.5943694114685059,0.9279739260673523
run_name,loss,semitone_loss,octave_loss,dur_log_loss,dotted_loss,semitone_balanced_accuracy,semitone_accuracy,octave_balanced_accuracy,octave_accuracy,dur_log_balanced_accuracy,dur_log_accuracy,dotted_balanced_accuracy,dotted_accuracy
10_last,nan,8.260635375976562,nan,4.23030424118042,1.1532763242721558,0.48427921533584595,0.4874798357486725,0.6462162733078003,0.7349389791488647,0.5286847352981567,0.7375154495239258,0.5940920114517212,0.9284470081329346
run_name,loss,semitone_loss,octave_loss,dur_log_loss,dotted_loss,semitone_balanced_accuracy,semitone_accuracy,octave_balanced_accuracy,octave_accuracy,dur_log_balanced_accuracy,dur_log_accuracy,dotted_balanced_accuracy,dotted_accuracy
20_last,nan,8.201574325561523,nan,4.195827484130859,1.1398334503173828,0.4877517521381378,0.4911476969718933,0.6427958607673645,0.7363678812980652,0.5284317135810852,0.7396559119224548,0.5937686562538147,0.9292829036712646
run_name,loss,semitone_loss,octave_loss,dur_log_loss,dotted_loss,semitone_balanced_accuracy,semitone_accuracy,octave_balanced_accuracy,octave_accuracy,dur_log_balanced_accuracy,dur_log_accuracy,dotted_balanced_accuracy,dotted_accuracy
30_last,nan,8.143184661865234,nan,4.16339111328125,1.1256251335144043,0.49111446738243103,0.49477285146713257,0.6395541429519653,0.7376347780227661,0.5288408398628235,0.741670548915863,0.593847930431366,0.9301662445068359
run_name,loss,semitone_loss,octave_loss,dur_log_loss,dotted_loss,semitone_balanced_accuracy,semitone_accuracy,octave_balanced_accuracy,octave_accuracy,dur_log_balanced_accuracy,dur_log_accuracy,dotted_balanced_accuracy,dotted_accuracy
40_last,nan,8.079977989196777,nan,4.130495548248291,1.1107884645462036,0.4947676956653595,0.49869126081466675,0.6371968984603882,0.7391817569732666,0.5294073224067688,0.743711531162262,0.5938942432403564,0.9310876727104187
run_name,loss,semitone_loss,octave_loss,dur_log_loss,dotted_loss,semitone_balanced_accuracy,semitone_accuracy,octave_balanced_accuracy,octave_accuracy,dur_log_balanced_accuracy,dur_log_accuracy,dotted_balanced_accuracy,dotted_accuracy
50_last,nan,8.01183032989502,nan,4.098480224609375,1.096431016921997,0.4987594485282898,0.5029205679893494,0.6299830675125122,0.7409208416938782,0.5299564003944397,0.7456989288330078,0.5941441655158997,0.931980311870575
