458 35 274 22 80 372 27 179 64 215 119 209 45
33 217 53 69 90 33 248 16 87 134 22 123 56
316 39 812 14 160 269 110 222 24 323 139 120 60
53 46 46 148 63 131 71 31 163 36 79 78 31
138 71 273 33 858 149 182 142 66 201 22 296 71
171 21 242 81 128 870 70 140 99 94 201 43 54
32 132 85 66 200 64 1099 129 113 155 44 241 47
158 16 197 30 157 333 154 910 127 246 175 115 49
82 61 29 96 94 213 148 101 618 84 83 96 14
330 100 313 56 300 106 165 290 92 1046 57 477 111
72 9 66 40 30 244 67 55 69 32 473 47 13
97 120 203 28 283 52 262 93 105 316 29 913 58
80 117 257 9 88 35 67 58 12 95 20 152 735
