569 24 213 52 196 177 107 210 82 185 112 106 66
19 314 82 33 65 21 196 8 116 130 26 117 54
210 27 708 31 277 154 115 239 28 306 89 261 163
41 42 46 273 51 101 61 34 120 36 31 62 78
168 62 249 29 972 82 220 232 56 224 8 128 72
172 16 157 115 89 962 101 162 95 35 143 96 71
39 111 78 40 165 47 1280 152 149 119 40 143 44
210 12 168 40 169 259 144 1194 55 166 62 82 106
81 47 36 81 99 129 176 111 750 45 57 87 20
214 98 151 35 341 69 141 365 87 1436 59 280 167
73 9 84 20 32 204 56 83 84 50 472 27 23
98 119 167 61 361 91 220 237 78 272 11 792 52
46 39 152 33 93 40 88 79 34 104 25 101 891
