275 44 285 526 46 4 0
96 377 1021 1502 306 6 0
35 49 9160 8099 789 34 0
13 19 4318 115555 4447 178 0
5 8 670 7636 60576 902 0
1 1 59 482 1517 6635 0
0 0 2 27 148 109 0
