4048 146 1772 279 2244 857 135 2311 576 2037 908 971 680
202 2372 476 304 1754 154 1070 255 566 1145 374 1003 454
1331 436 6966 181 3600 571 547 2625 250 3108 806 1446 1328
682 385 320 1368 1244 364 399 611 792 423 813 716 466
1115 514 2344 257 13321 454 1016 2210 371 3022 394 2576 1890
1022 133 1361 238 1457 2869 317 1696 778 1412 1510 308 419
307 785 907 183 2326 197 5109 1307 812 1088 424 1819 873
1724 185 1810 112 2924 826 838 8181 454 2230 587 1886 1189
604 701 168 364 1210 344 787 592 4748 588 557 596 365
1458 683 2782 144 4592 345 806 2090 313 8633 439 2157 1506
580 136 569 314 630 610 408 803 514 680 2536 368 388
1424 526 1639 270 4386 160 1301 1720 744 2344 414 6330 1355
299 286 849 128 1538 126 275 728 210 763 189 672 10220
