4249 97 1269 524 1798 1774 182 1778 621 2023 777 1276 596
139 2615 272 573 1288 371 1203 141 680 1209 388 844 406
1240 413 6426 353 3719 1628 729 2336 266 2952 682 1528 923
441 374 206 2105 883 901 465 275 922 381 652 616 362
852 661 1400 442 14027 1117 1431 1764 400 3284 447 2532 1127
738 188 929 321 1325 4942 292 1365 795 864 1118 287 356
222 730 499 454 2280 436 5845 1023 774 1362 430 1615 467
1450 172 1187 293 2879 2042 959 7848 470 2307 677 1800 862
372 479 101 662 938 840 989 373 4886 610 591 524 259
1158 550 2121 222 3616 1023 1107 1818 404 10460 526 1944 999
403 109 329 549 476 1592 400 511 460 503 2560 294 350
1287 669 951 483 4223 417 1695 1418 635 2364 487 7051 933
343 281 627 208 1388 344 171 593 151 829 135 623 10590
